# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,ANGLE_DOT,DISTANCE,offset
serverInfo,,,,1464497589573,0.6856048904454586,0.43389461879806684,0
move,0.0,6.0000076,-4.499939,1464497589598,,,25
move,0.0,8.700005,-7.1999207,1464497589648,,,50
move,0.0,3.7500076,-6.7499084,1464497589698,,,50
animation,,,,1464497589725,,,27
attack,,,,1464497589725,,,0
serverInfo,,,,1464497589725,0.049641625256597766,0.30877503053307603,0
move,0.0,0.7500076,-7.7999573,1464497589748,,,23
animation,,,,1464497589761,,,13
move,0.0,1.5000153,-12.000153,1464497589798,,,37
move,0.41999998688697815,0.0,-16.800018,1464497589848,,,50
move,0.33319999363422426,-2.550026,-29.850128,1464497589898,,,50
animation,,,,1464497589942,,,44
attack,,,,1464497589942,,,0
serverInfo,,,,1464497589942,0.7653053605580332,1.2591514930923915,0
move,0.24813599859093927,-2.550026,-24.599945,1464497589948,,,6
move,0.1647732818260721,-4.200016,-26.699951,1464497589998,,,50
move,0.08307781780646906,-7.649994,-25.199951,1464497590048,,,50
animation,,,,1464497590096,,,48
attack,,,,1464497590096,,,0
serverInfo,,,,1464497590096,0.962834051339907,1.8486097297548933,0
move,0.0,-4.0500107,-4.0500183,1464497590098,,,2
move,-0.07840000152587834,-2.2500114,2.849884,1464497590148,,,50
move,-0.15523200451660557,-2.1000175,6.4499207,1464497590198,,,50
move,-0.23052736891296632,-3.1500282,13.650085,1464497590248,,,50
animation,,,,1464497590263,,,15
attack,,,,1464497590263,,,0
serverInfo,,,,1464497590263,0.9787619722118795,1.7621567624088865,0
move,-0.30431682745754074,-1.2000046,2.2499695,1464497590298,,,35
move,-0.37663049823865435,-0.30000305,-0.4499817,1464497590348,,,50
move,-0.1040803780930375,-2.5500221,-10.500061,1464497590398,,,50
animation,,,,1464497590434,,,36
attack,,,,1464497590434,,,0
serverInfo,,,,1464497590434,0.8237460517984334,1.5559032034799567,0
move,0.0,-1.8000183,-4.6499634,1464497590448,,,14
move,0.0,-0.8999977,2.849945,1464497590548,,,100
move,0.0,-2.2499943,14.400055,1464497590548,,,0
move,0.0,-0.5999985,11.700043,1464497590598,,,50
animation,,,,1464497590646,,,48
attack,,,,1464497590646,,,0
serverInfo,,,,1464497590646,0.876570164624325,1.1573829108932558,0
move,0.0,-0.14999962,1.1999817,1464497590648,,,2
move,0.41999998688697815,-0.44999886,0.5999756,1464497590748,,,100
move,0.33319999363422426,0.29999924,6.7500305,1464497590748,,,0
move,0.24813599859093927,3.2999916,23.999939,1464497590798,,,50
animation,,,,1464497590833,,,35
attack,,,,1464497590833,,,0
serverInfo,,,,1464497590833,0.9496335196422685,1.3244657039055143,0
move,0.1647732818260721,2.8500195,19.199951,1464497590848,,,15
move,0.08307781780646906,0.15000153,1.0499573,1464497590948,,,100
move,0.0,3.7500153,14.100037,1464497590948,,,0
animation,,,,1464497591019,,,71
attack,,,,1464497591019,,,0
serverInfo,,,,1464497591019,0.9481230020312599,1.491654756052401,0
move,-0.07840000152587834,3.0000153,14.850037,1464497591048,,,29
move,-0.15523200451660557,0.30000305,2.2499084,1464497591048,,,0
move,-0.23052736891296632,-1.650013,7.9500427,1464497591098,,,50
move,-0.30431682745754074,-2.5500221,9.750061,1464497591148,,,50
animation,,,,1464497591171,,,23
attack,,,,1464497591171,,,0
serverInfo,,,,1464497591171,0.9843993474573978,0.9913462696665926,0
move,-0.37663049823865435,-4.0500145,7.350006,1464497591198,,,27
move,-0.1040803780930375,-7.500004,11.550171,1464497591248,,,50
move,0.0,-7.799999,12.900116,1464497591298,,,50
move,0.0,-3.5999947,4.1999207,1464497591348,,,50
animation,,,,1464497591384,,,36
attack,,,,1464497591384,,,0
serverInfo,,,,1464497591384,0.9521547372683574,0.8479399768988003,0
move,0.0,-2.9999943,5.999878,1464497591398,,,14
move,0.0,-3.5999975,22.5,1464497591448,,,50
move,0.0,1.949996,29.100037,1464497591498,,,50
animation,,,,1464497591523,,,25
attack,,,,1464497591523,,,0
serverInfo,,,,1464497591523,0.9788534127636852,0.5930691406370054,0
move,0.0,2.2499943,17.40001,1464497591548,,,25
move,0.0,2.6999931,6.75,1464497591648,,,100
move,0.0,1.4999962,11.250015,1464497591648,,,0
animation,,,,1464497591712,,,64
attack,,,,1464497591712,,,0
serverInfo,,,,1464497591712,0.8735326727643128,0.4807058145099055,0
move,0.0,-0.14999962,12.149994,1464497591748,,,36
move,0.0,-2.0999947,9.0,1464497591748,,,0
move,0.0,-6.449999,12.90004,1464497591798,,,50
move,0.0,-11.25,5.8499756,1464497591848,,,50
animation,,,,1464497591883,,,35
move,0.0,-13.800005,5.549988,1464497591898,,,15
move,0.0,-10.950012,13.350037,1464497591948,,,50
move,0.0,-3.1499958,16.199997,1464497592048,,,100
move,0.0,7.799999,10.5,1464497592048,,,0
animation,,,,1464497592091,,,43
attack,,,,1464497592091,,,0
serverInfo,,,,1464497592091,0.9889043524009697,1.9013869374216812,0
move,0.0,16.5,12.450027,1464497592098,,,7
move,0.0,11.25,6.000038,1464497592148,,,50
move,0.0,4.0500026,11.549965,1464497592198,,,50
animation,,,,1464497592251,,,53
move,0.0,3.7499933,13.499977,1464497592298,,,47
move,0.0,2.2499962,6.0000076,1464497592298,,,0
move,0.0,0.5999985,-1.2000122,1464497592398,,,100
move,0.0,3.4499931,3.900032,1464497592398,,,0
animation,,,,1464497592434,,,36
move,0.0,2.5499935,7.950012,1464497592448,,,14
move,0.0,-2.699995,6.9000473,1464497592498,,,50
move,0.0,-7.0499964,-9.149994,1464497592548,,,50
animation,,,,1464497592596,,,48
attack,,,,1464497592596,,,0
serverInfo,,,,1464497592596,-0.23911410590906224,0.7120573524462533,0
move,0.0,-3.2999978,-25.200005,1464497592598,,,2
move,0.0,0.89999914,-32.249992,1464497592648,,,50
move,0.0,2.5499945,1.0500183,1464497592698,,,50
move,0.0,0.5999985,6.7500076,1464497592748,,,50
animation,,,,1464497592780,,,32
attack,,,,1464497592780,,,0
serverInfo,,,,1464497592780,-0.7956221827916934,0.03961292502339962,0
move,0.0,1.0499973,-7.2000046,1464497592798,,,18
move,0.0,7.500001,-22.649963,1464497592898,,,100
move,0.0,7.6499977,-16.949997,1464497592898,,,0
animation,,,,1464497592916,,,18
animation,,,,1464497592916,,,0
move,0.0,1.4999962,-7.3499756,1464497592948,,,32
animation,,,,1464497592996,,,48
move,0.0,2.399994,-16.950012,1464497592998,,,2
animation,,,,1464497593018,,,20
move,0.0,1.950016,-35.550003,1464497593048,,,30
move,0.0,-1.2000122,-49.34999,1464497593098,,,50
animation,,,,1464497593142,,,44
animation,,,,1464497593142,,,0
move,0.0,-2.25,-45.599976,1464497593148,,,6
animation,,,,1464497593183,,,35
move,0.0,-0.5999985,-13.349976,1464497593198,,,15
move,0.0,0.0,-0.1499939,1464497593248,,,50
move,0.0,0.14999962,3.4499817,1464497593298,,,50
animation,,,,1464497593348,,,50
attack,,,,1464497593348,,,0
serverInfo,,,,1464497593348,-0.3437159647674949,0.8081318496769188,0
move,0.0,2.2499943,15.150055,1464497593348,,,0
move,0.0,-0.29999924,15.900024,1464497593398,,,50
move,0.0,-0.8999977,12.300079,1464497593448,,,50
animation,,,,1464497593469,,,21
attack,,,,1464497593469,,,0
serverInfo,,,,1464497593469,-0.33965835636106545,0.5876283223916916,0
move,0.0,2.0999985,26.249939,1464497593499,,,30
move,0.0,1.0500069,13.9500885,1464497593548,,,49
move,0.0,-0.30000305,23.699982,1464497593598,,,50
move,0.0,-2.5500107,10.5,1464497593648,,,50
animation,,,,1464497593683,,,35
