# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
attack,,,,,,,,,1464498780392,0
serverInfo,,,,,0.97876003205779,1.7403350619427393,128,19.845207382417147,1464498780392,0
move,0.14362969277320659,0.23679250460862988,-0.14999962,1.3499985,,,,,1464498780406,14
move,0.10427632145263388,0.15365665750703528,-0.29999924,1.0500107,,,,,1464498780506,100
move,0.06972056743623867,0.07218352576178688,-0.5999985,7.1999893,,,,,1464498780506,0
animation,,,,,,,,,1464498780636,130
attack,,,,,,,,,1464498780636,0
serverInfo,,,,,0.993245384849871,1.699757119987106,128,19.868865487780646,1464498780636,0
move,0.048904165846877845,-0.09356708857900742,0.5999985,1.199997,,,,,1464498780656,20
move,0.02147692483685759,-0.1625888079673672,0.14999962,0.0,,,,,1464498780656,0
move,0.02892966257570606,-0.23773703643502841,0.0,-0.15000153,,,,,1464498780756,100
animation,,,,,,,,,1464498780781,25
attack,,,,,,,,,1464498780782,1
serverInfo,,,,,0.9371899851968744,1.6184045336650352,128,19.884668920262477,1464498780782,0
move,0.038263630118986924,-0.2903647548960464,0.0,-0.30000305,,,,,1464498780807,25
move,0.09516680582859749,0.0,-0.14999962,0.30000305,,,,,1464498780857,50
move,0.1268585631463779,0.0,-0.14999962,6.900009,,,,,1464498780857,0
animation,,,,,,,,,1464498780950,93
attack,,,,,,,,,1464498780950,0
serverInfo,,,,,0.8204934309213898,1.1637521284676784,128,19.817677368212443,1464498780950,0
move,0.14986960682943362,0.0,0.14999962,2.8500137,,,,,1464498780957,7
move,0.05900152856025187,0.0,0.29999924,0.15000153,,,,,1464498780957,0
move,0.009387552062499083,0.0,0.0,0.0,,,,,1464498781007,50
move,-0.020253446501570238,0.0,0.74999905,-1.050003,,,,,1464498781057,50
animation,,,,,,,,,1464498781094,37
attack,,,,,,,,,1464498781094,0
serverInfo,,,,,0.24713351933531627,0.7188630650874569,128,19.8373338623289,1464498781094,0
move,0.31869012641908157,0.2763750000000016,2.9999943,-8.699982,,,,,1464498781107,13
jump,,,,,,,,,1464498781107,0
move,0.14813390395473647,0.19244750374555508,2.399994,-4.800003,,,,,1464498781207,100
move,0.10726365750604572,0.11019855581540838,-0.5999985,10.649994,,,,,1464498781207,0
animation,,,,,,,,,1464498781244,37
move,0.06937658554563697,0.029594585275091845,-0.29999924,9.750008,,,,,1464498781257,13
move,0.04857067490046063,-0.17620667110384858,1.4999962,0.45001984,,,,,1464498781357,100
move,0.004306440773650166,-0.20267318038236937,0.0,-24.899994,,,,,1464498781407,50
animation,,,,,,,,,1464498781451,44
attack,,,,,,,,,1464498781451,0
serverInfo,,,,,0.7996752879658795,0.8418464270487235,128,19.813750743015653,1464498781451,0
move,-0.014227041796676332,-0.22973579334983896,2.5499954,-22.199997,,,,,1464498781458,7
move,-0.11579966072621062,0.0,-1.4999962,6.75,,,,,1464498781557,99
move,-0.17565989544567984,0.0,-1.7999954,6.0,,,,,1464498781557,0
animation,,,,,,,,,1464498781598,41
attack,,,,,,,,,1464498781598,0
serverInfo,,,,,0.04000519698715521,0.4749097454457578,128,19.825535289452816,1464498781598,0
move,0.3966309636533438,0.2763750000000016,1.7999954,-5.25,,,,,1464498781607,9
jump,,,,,,,,,1464498781607,0
move,0.1932529759536621,0.19244750374555508,3.89999,-12.899979,,,,,1464498781657,50
move,0.15069429536857726,0.11019855581540838,3.8999996,-7.350006,,,,,1464498781707,50
