# EVENT,Y_DELTA,PITCH,YAW,TIMESTAMP,offset
move,0.1663027312572467,9.199996,263.89984,1464490199221,28
move,0.08457667827818227,12.499992,265.69977,1464490199271,50
move,0.0,14.749987,272.5996,1464490199321,50
move,-0.07840000152587834,15.649984,281.44955,1464490199371,50
animation,,,,1464490199381,10
move,-0.15523200451660557,15.799984,285.7995,1464490199421,40
move,-0.02336157125436955,15.799984,288.4994,1464490199471,50
move,0.0,15.799984,297.34933,1464490199521,50
move,0.0,15.199985,297.34933,1464490199571,50
animation,,,,1464490199592,21
attack,,,,1464490199592,0
move,0.0,15.199985,297.49933,1464490199622,30
move,0.23375000000000057,15.199985,298.2493,1464490199671,49
move,0.15067500293254454,18.049978,310.09933,1464490199721,50
animation,,,,1464490199757,36
move,0.06926150422191313,18.949976,319.39932,1464490199772,15
move,-0.010523726067347638,27.19997,312.9494,1464490199821,49
move,-0.08871325327260138,31.099968,298.39926,1464490199871,50
move,-0.16533899142510222,25.24998,276.64935,1464490199922,51
animation,,,,1464490199939,17
attack,,,,1464490199939,0
move,-0.189110536389407,26.149979,268.39938,1464490199972,33
move,0.0,27.199976,267.9494,1464490200022,50
move,0.0,27.799974,271.24936,1464490200072,50
move,0.0,28.999971,281.44946,1464490200122,50
animation,,,,1464490200133,11
attack,,,,1464490200133,0
move,0.2763750000000016,27.049976,276.4995,1464490200172,39
move,0.19244750374555508,23.599985,261.34946,1464490200222,50
move,0.11019855581541549,21.499989,247.6995,1464490200272,50
animation,,,,1464490200285,13
move,0.029594585275091845,23.449986,247.99948,1464490200322,37
move,-0.04939730739181414,24.799982,251.74945,1464490200372,50
move,-0.12680936371204155,27.199976,261.4994,1464490200422,50
animation,,,,1464490200442,20
attack,,,,1464490200442,0
move,-0.20267318038237647,28.399973,263.74933,1464490200473,31
move,-0.22973579334983185,27.799974,264.1993,1464490200523,50
move,0.0,27.799974,263.44934,1464490200572,49
move,0.0,27.049976,265.24927,1464490200622,50
animation,,,,1464490200640,18
attack,,,,1464490200640,0
move,0.3216249999999974,27.049976,265.69925,1464490200673,33
move,0.23679250460862988,27.049976,268.69913,1464490200723,50
move,0.15365665750704238,25.39998,264.49924,1464490200773,50
animation,,,,1464490200814,41
move,0.07218352576178688,27.199976,259.6994,1464490200823,9
move,-0.09356708857900742,33.79997,286.99942,1464490200923,100
animation,,,,1464490200945,22
move,-0.1625888079673672,37.09999,302.59943,1464490200974,29
move,-0.23773703643503552,37.849995,301.24948,1464490201023,49
move,-0.2903647548960464,35.749973,293.44965,1464490201073,50
animation,,,,1464490201098,25
attack,,,,1464490201099,1
move,0.0,37.699978,292.54965,1464490201123,24
move,0.03274999999999295,39.349987,298.09964,1464490201173,50
move,-0.03274999999999295,37.099968,314.14972,1464490201223,50
move,0.0,35.149952,318.94955,1464490201273,50
animation,,,,1464490201288,15
attack,,,,1464490201288,0
move,0.0,34.249943,319.9995,1464490201323,35
move,0.0,28.69994,323.44937,1464490201373,50
move,0.0,23.59995,319.09952,1464490201423,50
animation,,,,1464490201445,22
attack,,,,1464490201445,0
move,0.0,22.999952,321.94946,1464490201473,28
move,0.0,23.299952,325.6994,1464490201523,50
move,0.0,24.649948,342.94943,1464490201573,50
move,0.3216249999999974,22.699953,353.14944,1464490201623,50
animation,,,,1464490201646,23
attack,,,,1464490201646,0
move,0.23679250460862988,22.399954,355.54938,1464490201673,27
move,0.15365665750704238,21.799955,356.74933,1464490201723,50
move,0.07218352576178688,22.249954,359.59924,1464490201773,50
animation,,,,1464490201791,18
move,-0.007660144902530419,23.74995,368.14932,1464490201823,32
move,-0.085906943676477,23.149952,369.94925,1464490201873,50
move,-0.1625888079673672,22.699953,368.89926,1464490201923,50
move,-0.23773703643503552,21.499956,363.49945,1464490201974,51
animation,,,,1464490201992,18
attack,,,,1464490201992,0
move,-0.2903647548960464,21.499956,3.4994507,1464490202024,32
move,0.0,20.749958,364.3994,1464490202074,50
move,0.2763750000000016,20.14996,366.34933,1464490202123,49
animation,,,,1464490202155,32
move,0.19244750374555508,19.399961,368.29926,1464490202174,19
move,0.11019855581541549,18.049965,369.4992,1464490202223,49
move,0.029594585275091845,17.899965,369.7992,1464490202273,50
move,-0.04939730739181414,17.899965,9.799194,1464490202323,50
animation,,,,1464490202366,43
move,-0.12680936371204155,17.899965,369.9492,1464490202373,7
move,-0.20267318038237647,18.049965,370.09918,1464490202423,50
move,-0.2770197221662869,19.249962,367.99924,1464490202474,51
animation,,,,1464490202494,20
attack,,,,1464490202494,0
move,-0.3498793345325737,20.749958,371.74908,1464490202524,30
move,-0.42128175604122475,21.499956,373.39902,1464490202574,50
move,-0.1815549806097465,20.599958,376.8489,1464490202624,50
move,0.3763749999999959,16.39997,369.19888,1464490202674,50
animation,,,,1464490202699,25
move,0.29044750565290656,16.999968,363.649,1464490202724,25
move,0.20623855955381032,17.149967,363.649,1464490202774,50
move,0.12371379077055167,16.699968,368.89886,1464490202824,50
move,0.04283951578891276,15.49997,370.54883,1464490202874,50
animation,,,,1464490202894,20
move,-0.03641727523564953,15.19997,370.24884,1464490202924,30
move,-0.11408893195141445,15.049971,370.69882,1464490202974,50
move,-0.190207157014342,13.849974,367.09897,1464490203024,50
animation,,,,1464490203058,34
move,-0.26480301902785186,13.849974,7.0989685,1464490203075,17
move,0.3216249999999974,13.849974,366.94897,1464490203124,49
move,0.23679250460862988,13.999973,366.499,1464490203174,50
move,0.15365665750704238,13.999973,366.049,1464490203224,50
animation,,,,1464490203260,36
move,0.07218352576178688,13.999973,365.89902,1464490203274,14
move,-0.007660144902530419,13.999973,5.8990173,1464490203324,50
move,-0.085906943676477,13.999973,5.8990173,1464490203374,50
animation,,,,1464490203405,31
move,-0.1625888079673672,13.999973,366.199,1464490203424,19
move,-0.23773703643503552,13.549974,366.94897,1464490203474,50
