# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,offset
move,0.0,-0.44999886,51.749878,1464492705697,100
move,0.0,-8.1,52.5,1464492705697,0
animation,,,,1464492705719,22
attack,,,,1464492705719,0
move,0.0,-5.1000004,31.350098,1464492705747,28
animation,,,,1464492705771,24
move,0.0,0.7500005,22.350464,1464492705797,26
move,0.0,-0.4500003,19.349976,1464492705847,50
move,0.0,0.3000002,14.249756,1464492705897,50
animation,,,,1464492705922,25
animation,,,,1464492705922,0
move,0.0,2.7000015,13.199707,1464492705948,26
animation,,,,1464492705982,34
move,0.0,4.9500027,21.750366,1464492705997,15
animation,,,,1464492706014,17
move,0.0,2.5499983,29.549805,1464492706047,33
move,0.0,-1.0499973,30.149658,1464492706097,50
animation,,,,1464492706137,40
attack,,,,1464492706137,0
move,0.0,-2.0999947,30.600098,1464492706147,10
move,0.0,-2.2499976,28.200073,1464492706197,50
move,0.0,-0.4500003,31.34961,1464492706247,50
move,0.0,-1.650001,28.950073,1464492706297,50
animation,,,,1464492706322,25
attack,,,,1464492706322,0
move,0.0,-2.5500014,30.29956,1464492706348,26
move,0.0,-2.1,21.30017,1464492706397,49
move,0.0,0.5999999,5.550049,1464492706447,50
move,0.0,1.9500005,5.550049,1464492706497,50
animation,,,,1464492706527,30
animation,,,,1464492706527,0
move,0.0,1.500001,18.450073,1464492706547,20
animation,,,,1464492706595,48
move,0.0,0.3000002,36.299927,1464492706597,2
move,0.0,2.5500016,46.499878,1464492706647,50
animation,,,,1464492706673,26
attack,,,,1464492706673,0
move,0.0,-4.7683716E-7,31.649902,1464492706697,24
move,0.0,-1.0500007,8.25,1464492706747,50
move,0.0,-0.3000002,-2.2503662,1464492706797,50
move,0.0,-0.6000004,-7.2001953,1464492706847,50
animation,,,,1464492706885,38
animation,,,,1464492706885,0
move,0.0,0.3000002,-0.9001465,1464492706898,13
animation,,,,1464492706933,35
move,0.0,0.3000002,0.30004883,1464492706947,14
move,0.0,-0.3000002,-4.0499268,1464492706997,50
animation,,,,1464492707018,21
animation,,,,1464492707018,0
move,0.0,-0.7500005,-14.8498535,1464492707047,29
animation,,,,1464492707083,36
move,0.0,-0.7500005,-27.30017,1464492707097,14
move,0.0,1.3500009,-17.550415,1464492707147,50
move,0.0,0.3000002,0.0,1464492707197,50
move,0.0,0.0,-1440.0,1464492707247,50
animation,,,,1464492707276,29
animation,,,,1464492707276,0
move,0.0,0.0,0.0,1464492707297,21
animation,,,,1464492707313,16
move,0.0,0.0,0.0,1464492707347,34
animation,,,,1464492707392,45
move,0.0,0.0,0.0,1464492707398,6
